id,question,a,b,c,d,correct,difficulty,category,tags
753,"Open the Lock
You have a lock in front of you with 4 circular wheels. Each wheel has 10 slots: '0', '1', '2', '3', '4', '5', '6', '7', '8', '9'. The wheels can rotate freely and wrap around: for example we can turn '9' to be '0', or '0' to be '9'. Each move consists of turning one wheel one slot. The lock initially starts at '0000', a string representing the state of the 4 wheels. You are given a list of deadends dead ends, meaning if the lock displays any of these codes, the wheels of the lock will stop turning and you will be unable to open it. Given a target representing the value of the wheels that will unlock the lock, return the minimum total number of turns required to open the lock, or -1 if it is impossible.",Depth-First Search (DFS),Greedy Algorithm,Dynamic Programming,Divide and Conquer,Breadth-First Search (BFS),Medium,algorithms,"Array,Hash Table,String,Breadth-First Search"
754,"Cracking the Safe
There is a safe protected by a password. The password is a sequence of n digits where each digit can be in the range [0, k - 1]. The safe has a peculiar way of checking the password. When you enter in a sequence, it checks the most recent n digits that were entered each time you type a digit. Return any string of minimum length that will unlock the safe at some point of entering it.",Use a greedy algorithm to prioritize shorter substrings for faster verification.,Construct a de Bruijn sequence of order 'n' using an alphabet of size 'k'.,Generate all possible password combinations and concatenate them with a delimiter.,Employ a backtracking algorithm to explore potential password sequences.,"Build a directed graph where nodes represent all possible (n-1)-digit sequences, and edges represent adding a digit; find a Eulerian path in this graph.",Hard,algorithms,"Depth-First Search,Graph,Eulerian Circuit"
755,"Reach a Number
You are standing at position 0 on an infinite number line. There is a destination at position target. You can make some number of moves numMoves so that: Given the integer target, return the minimum number of moves required (i.e., the minimum numMoves) to reach the destination.","Use a breadth-first search (BFS) algorithm, treating each position as a node and each move as an edge.","Apply dynamic programming, storing the minimum moves required to reach each position.",Solve the problem using binary search to find the optimal number of moves.,"Employ a greedy approach, always moving towards the target with the largest possible step.","Calculate the sum of the first n natural numbers until it's greater than or equal to the absolute value of the target, then adjust for parity.",Medium,algorithms,"Math,Binary Search"
757,"Pyramid Transition Matrix
You are stacking blocks to form a pyramid. Each block has a color, which is represented by a single letter. Each row of blocks contains one less block than the row beneath it and is centered on top. To make the pyramid aesthetically pleasing, there are only specific triangular patterns that are allowed. A triangular pattern consists of a single block stacked on top of two blocks. The patterns are given as a list of three-letter strings allowed, where the first two characters of a pattern represent the left and right bottom blocks respectively, and the third character is the top block. You start with a bottom row of blocks bottom, given as a single string, that you must use as the base of the pyramid. Given bottom and allowed, return true if you can build the pyramid all the way to the top such that every triangular pattern in the pyramid is in allowed, or false otherwise.",Always choose the lexicographically smallest possible top block.,"If any two adjacent blocks in a row are not a valid pattern, immediately return false.","Recursively build the pyramid row by row, backtracking when no valid top blocks exist.","Prioritize building the pyramid from the top down, checking if the base can be formed.","Use dynamic programming to determine if each possible row can be built from the row below, given the allowed patterns.",Medium,algorithms,"Bit Manipulation,Depth-First Search,Breadth-First Search"
759,"Set Intersection Size At Least Two
You are given a 2D integer array intervals where intervals[i] = [starti, endi] represents all the integers from starti to endi inclusively. A containing set is an array nums where each interval from intervals has at least two integers in nums. Return the minimum possible size of a containing set.",Sort the intervals by their end points and greedily pick the two largest numbers within each interval.,Sort the intervals by their start points and use dynamic programming to find the minimum size.,"Recursively process the intervals, keeping track of the set of numbers selected so far.","For each interval, pick two arbitrary numbers and add them to the containing set.","Sort the intervals by their end points. Then, for each interval, greedily add the two largest possible numbers that are not already in the set.",Hard,algorithms,"Array,Greedy,Sorting"
763,"Special Binary String
Special binary strings are binary strings with the following two properties: You are given a special binary string s. A move consists of choosing two consecutive, non-empty, special substrings of s, and swapping them. Two strings are consecutive if the last character of the first string is exactly one index before the first character of the second string. Return the lexicographically largest resulting string possible after applying the mentioned operations on the string.","Divide the string into substrings where the number of 0s equals the number of 1s, then sort these substrings lexicographically in ascending order and concatenate them.","Recursively find all possible substrings, sort them lexicographically in descending order, and select the largest one that satisfies the special binary string property.","Greedily swap any two adjacent substrings that are special binary strings if the swap results in a lexicographically larger string, repeating until no such swaps are possible.",Sort the string directly using a standard sorting algorithm and then check if it satisfies the special binary string properties.,"Decompose the string into its maximal special substrings, sort these substrings lexicographically in descending order, and concatenate them to form the result.",Hard,algorithms,"String,Recursion"
767,"Prime Number of Set Bits in Binary Representation
Given two integers left and right, return the count of numbers in the inclusive range [left, right] having a prime number of set bits in their binary representation. Recall that the number of set bits an integer has is the number of 1's present when written in binary.",Store the count of set bits for each number in a hash table and then check for primality.,Precompute all prime numbers up to 'right' and use them to filter the numbers based on their binary representation.,"Calculate the total number of set bits across the entire range [left, right] and check if that sum is prime.",Convert each number in the range to its decimal representation and then determine if the decimal value is a prime number.,"Iterate through the range, count set bits for each number, and increment a counter if the set bit count is a prime number.",Easy,algorithms,"Math,Bit Manipulation"
768,"Partition Labels
You are given a string s. We want to partition the string into as many parts as possible so that each letter appears in at most one part. For example, the string ""ababcc"" can be partitioned into [""abab"", ""cc""], but partitions such as [""aba"", ""bcc""] or [""ab"", ""ab"", ""cc""] are invalid. Note that the partition is done so that after concatenating all the parts in order, the resultant string should be s. Return a list of integers representing the size of these parts.","O(n log n), due to sorting the string.","O(n^2), due to nested loops for finding partitions.","O(26n), since we are checking for at most 26 characters.","O(n!), as we might explore all possible partition combinations.","O(n), where n is the length of the string.",Medium,algorithms,"Hash Table,Two Pointers,String,Greedy"
769,"Largest Plus Sign
You are given an integer n. You have an n x n binary grid grid with all values initially 1's except for some indices given in the array mines. The ith element of the array mines is defined as mines[i] = [xi, yi] where grid[xi][yi] == 0. Return the order of the largest axis-aligned plus sign of 1's contained in grid. If there is none, return 0. An axis-aligned plus sign of 1's of order k has some center grid[r][c] == 1 along with four arms of length k - 1 going up, down, left, and right, and made of 1's. Note that there could be 0's or 1's beyond the arms of the plus sign, only the relevant area of the plus sign is checked for 1's.",Calculate the number of connected components in the grid using Depth-First Search (DFS) and return the maximum size.,Iterate through each cell and use a sliding window approach to determine the maximum size of a plus sign centered at that cell.,"Apply dynamic programming to precompute the lengths of consecutive ones in each direction (up, down, left, right) from each cell, then iterate to find the maximum plus sign order.",Convert the grid into a 1D array and use binary search to find the maximum length of consecutive ones representing the arms of the plus sign.,"Use dynamic programming to create four auxiliary matrices storing the maximum lengths of consecutive 1s extending in each direction from each cell, then iterate to find the minimum of these values at each cell to determine the maximum plus sign order.",Medium,algorithms,"Array,Dynamic Programming"
770,"Couples Holding Hands
There are n couples sitting in 2n seats arranged in a row and want to hold hands. The people and seats are represented by an integer array row where row[i] is the ID of the person sitting in the ith seat. The couples are numbered in order, the first couple being (0, 1), the second couple being (2, 3), and so on with the last couple being (2n - 2, 2n - 1). Return the minimum number of swaps so that every couple is sitting side by side. A swap consists of choosing any two people, then they stand up and switch seats.","Use a greedy approach, swapping adjacent elements until all couples are together.",Calculate the number of inversions in the array 'row' and divide by two.,Apply a recursive algorithm that checks if each pair is correctly seated and swaps when not.,Sort the array 'row' and count the number of misplaced couples.,Model the problem as a graph and count the number of cycles. The answer is n minus the number of cycles.,Hard,algorithms,"Greedy,Depth-First Search,Breadth-First Search,Union Find,Graph"
777,"Toeplitz Matrix
Given an m x n matrix, return true if the matrix is Toeplitz. Otherwise, return false. A matrix is Toeplitz if every diagonal from top-left to bottom-right has the same elements.",Check if matrix[i][j] == matrix[j][i] for all i and j.,Compare the first row and first column to all other elements.,Verify that the matrix is square before proceeding with any checks.,Only compare adjacent elements to determine if they are equal.,Compare matrix[i][j] with matrix[i+1][j+1] for all valid i and j.,Easy,algorithms,"Array,Matrix"
778,"Reorganize String
Given a string s, rearrange the characters of s so that any two adjacent characters are not the same. Return any possible rearrangement of s or return """" if not possible.","Use a greedy approach, always placing the most frequent character next, without considering edge cases.","Sort the string and then alternate characters, returning an empty string if adjacent characters are identical.","Generate all permutations of the string and return the first one that satisfies the condition, or an empty string if none exist.","Randomly shuffle the string until a valid rearrangement is found, or return an empty string after a certain number of attempts.","Use a max heap to store character counts and iteratively build the rearranged string, ensuring no adjacent characters are the same.",Medium,algorithms,"Hash Table,String,Greedy,Sorting,Heap (Priority Queue),Counting"
779,"Max Chunks To Make Sorted II
You are given an integer array arr. We split arr into some number of chunks (i.e., partitions), and individually sort each chunk. After concatenating them, the result should equal the sorted array. Return the largest number of chunks we can make to sort the array.",Greedily create chunks whenever the maximum value to the left is less than or equal to the minimum value to the right.,Sort the entire array and then create chunks of size one whenever two consecutive elements are in sorted order.,Count the number of inversions in the array and return the length of the array minus the number of inversions.,"Sort the array and compare it to the original, creating chunks whenever the elements match at a given index.",Use prefix maximums from the left and suffix minimums from the right to determine valid chunk boundaries.,Hard,algorithms,"Array,Stack,Greedy,Sorting,Monotonic Stack"
780,"Max Chunks To Make Sorted
You are given an integer array arr of length n that represents a permutation of the integers in the range [0, n - 1]. We split arr into some number of chunks (i.e., partitions), and individually sort each chunk. After concatenating them, the result should equal the sorted array. Return the largest number of chunks we can make to sort the array.","Apply a greedy algorithm comparing element value to index, incrementing the chunk count when they match.",Sort the input array and compare it to the original. The number of differences gives the optimal chunk count.,Recursively divide the array into smaller subarrays until each subarray is sorted. The number of divisions is the result.,Calculate the prefix sum of the array. The largest prefix sum will give the number of chunks.,"Iterate through the array, tracking the maximum value seen so far. Increment the chunk count when the maximum value equals the current index.",Medium,algorithms,"Array,Stack,Greedy,Sorting,Monotonic Stack"
781,"Basic Calculator IV
Given an expression such as expression = ""e + 8 - a + 5"" and an evaluation map such as {""e"": 1} (given in terms of evalvars = [""e""] and evalints = [1]), return a list of tokens representing the simplified expression, such as [""-1*a"",""14""] Expressions are evaluated in the usual order: brackets first, then multiplication, then addition and subtraction. The format of the output is as follows: Note: You may assume that the given expression is always valid. All intermediate results will be in the range of [-231, 231 - 1].",Use Dijkstra's algorithm to find the shortest path through the expression tree.,Evaluate the expression using a context-free grammar parser with operator precedence rules.,Substitute variables and simplify by iteratively applying algebraic identities.,"Tokenize the expression, then evaluate it using dynamic programming to store intermediate results.","Parse the expression into an expression tree, substitute variables, and simplify using polynomial arithmetic.",Hard,algorithms,"Hash Table,Math,String,Stack,Recursion"
782,"Jewels and Stones
You're given strings jewels representing the types of stones that are jewels, and stones representing the stones you have. Each character in stones is a type of stone you have. You want to know how many of the stones you have are also jewels. Letters are case sensitive, so ""a"" is considered a different type of stone from ""A"".","Use nested loops to iterate through `stones` and `jewels`, incrementing a counter for each match without considering case sensitivity.","Create a dictionary mapping stone types to their counts and then iterate through `jewels`, summing the counts of matching stones in the dictionary, ignoring the jewel string.",Convert both strings to lowercase and then use a single loop to check if each stone exists in the jewels string.,"Sort both strings alphabetically and then use a linear scan to find common characters, considering only unique characters in each string.","Convert the `jewels` string into a set for fast lookups, then iterate through the `stones` string, incrementing a counter for each stone found in the set.",Easy,algorithms,"Hash Table,String"
787,"Sliding Puzzle
On an 2 x 3 board, there are five tiles labeled from 1 to 5, and an empty square represented by 0. A move consists of choosing 0 and a 4-directionally adjacent number and swapping it. The state of the board is solved if and only if the board is [[1,2,3],[4,5,0]]. Given the puzzle board board, return the least number of moves required so that the state of the board is solved. If it is impossible for the state of the board to be solved, return -1.",Depth-First Search (DFS),Greedy Search,Dynamic Programming,A* Search with a poorly chosen heuristic,Breadth-First Search (BFS),Hard,algorithms,"Array,Breadth-First Search,Matrix"
790,"Global and Local Inversions
You are given an integer array nums of length n which represents a permutation of all the integers in the range [0, n - 1]. The number of global inversions is the number of the different pairs (i, j) where: The number of local inversions is the number of indices i where: Return true if the number of global inversions is equal to the number of local inversions.",O(n^2) due to nested loops to count global inversions.,O(n log n) due to sorting algorithms typically used for counting inversions.,O(1) as the result is always pre-computed.,O(n!) because it involves checking all permutations.,O(n) because it can be determined in a single pass if local inversions equal global inversions.,Medium,algorithms,"Array,Math"
793,"Swap Adjacent in LR String
In a string composed of 'L', 'R', and 'X' characters, like ""RXXLRXRXL"", a move consists of either replacing one occurrence of ""XL"" with ""LX"", or replacing one occurrence of ""RX"" with ""XR"". Given the starting string start and the ending string result, return True if and only if there exists a sequence of moves to transform start to result.",The length of the start and end strings are different.,The number of 'L' and 'R' characters differ between the start and end strings.,An 'R' character appears to the left of an 'L' character in the end string where it was not in the start string after removing 'X' characters.,The relative order of 'R' and 'L' characters are changed between start and end strings after removing all 'X' characters.,An 'L' character has moved right or an 'R' character has moved left.,Medium,algorithms,"Two Pointers,String"
794,"Swim in Rising Water
You are given an n x n integer matrix grid where each value grid[i][j] represents the elevation at that point (i, j). The rain starts to fall. At time t, the depth of the water everywhere is t. You can swim from a square to another 4-directionally adjacent square if and only if the elevation of both squares individually are at most t. You can swim infinite distances in zero time. Of course, you must stay within the boundaries of the grid during your swim. Return the least time until you can reach the bottom right square (n - 1, n - 1) if you start at the top left square (0, 0).","Use a breadth-first search, keeping track of visited cells and the maximum elevation encountered so far",Apply Dijkstra's algorithm with the edge weights being the elevation difference between adjacent cells,"Perform a depth-first search, prioritizing cells with the lowest elevation",Calculate the average elevation of the entire grid and use that as the estimated time,"Employ binary search on the possible time range, and within each iteration, use a graph traversal algorithm (e.g., DFS or BFS) to check if the bottom right cell is reachable",Hard,algorithms,"Array,Binary Search,Depth-First Search,Breadth-First Search,Union Find,Heap (Priority Queue),Matrix"
795,"K-th Symbol in Grammar
We build a table of n rows (1-indexed). We start by writing 0 in the 1st row. Now in every subsequent row, we look at the previous row and replace each occurrence of 0 with 01, and each occurrence of 1 with 10. Given two integer n and k, return the kth (1-indexed) symbol in the nth row of a table of n rows.",The kth symbol is always equal to k mod 2,"The kth symbol is determined by the number of set bits in the binary representation of k-1. If even, it's 0; otherwise, it's 1.","The kth symbol is the same as the (n-k)th symbol in the previous row, negated",The kth symbol alternates between 0 and 1 in each row.,The kth symbol is the bitwise XOR of n-1 and k-1. If the result has an even number of set bits the symbol is 0 else it's 1 after the first symbol in the first row,Medium,algorithms,"Math,Bit Manipulation,Recursion"
796,"Reaching Points
Given four integers sx, sy, tx, and ty, return true if it is possible to convert the point (sx, sy) to the point (tx, ty) through some operations, or false otherwise. The allowed operation on some point (x, y) is to convert it to either (x, x + y) or (x + y, y).","Greedily move towards (sx, sy) by subtracting the smaller of tx and ty from the larger until either tx == sx and ty == sy, or one coordinate is smaller than its corresponding starting coordinate","Use dynamic programming to store all reachable points from (sx, sy) up to (tx, ty) and return true if (tx, ty) is among them","Employ a breadth-first search algorithm starting from (sx, sy), exploring possible paths until (tx, ty) is reached or all paths are exhausted","Apply the Euclidean algorithm to find the greatest common divisor (GCD) of (tx - sx) and (ty - sy), then check if the GCD divides both (tx - sx) and (ty - sy)","Starting from (tx, ty), work backwards by repeatedly subtracting the smaller coordinate from the larger, using the modulo operator to avoid unnecessary calculations and handle edge cases",Hard,algorithms,Math
797,"Rabbits in Forest
There is a forest with an unknown number of rabbits. We asked n rabbits ""How many rabbits have the same color as you?"" and collected the answers in an integer array answers where answers[i] is the answer of the ith rabbit. Given the array answers, return the minimum number of rabbits that could be in the forest.",Store each answer as a key in a hash map and sum the values directly.,Sort the answers array and simply sum up all the unique elements.,Calculate the mode of the array and multiply it by the length of the array.,Multiply the number of distinct answers by the average answer.,"For each distinct answer 'x', calculate ceil(count(x) / (x + 1)) * (x + 1), and sum these values.",Medium,algorithms,"Array,Hash Table,Math,Greedy"
798,"Transform to Chessboard
You are given an n x n binary grid board. In each move, you can swap any two rows with each other, or any two columns with each other. Return the minimum number of moves to transform the board into a chessboard board. If the task is impossible, return -1. A chessboard board is a board where no 0's and no 1's are 4-directionally adjacent.","Find the row with the maximum number of 1s and swap it to the first row and column with maximum 1s to first column, then repeat recursively for submatrix","Calculate the number of differing bits between the first row and an ideal chessboard row, and the first column and an ideal chessboard column, and return the minimum of those two.","Check if the counts of 0s and 1s in each row and column are equal. If not return -1 else, find the optimal row swaps and column swaps independently by greedily swapping nearest mismatched rows and columns until the grid is chessboard",Use dynamic programming to store the minimum moves needed to transform the top-left k x k subgrid into a chessboard.,"Check for validity: equal 0s and 1s, at most two distinct rows/columns. Calculate row and column swaps independently by counting differences to ideal chessboard patterns. Return -1 if conditions not met.",Hard,algorithms,"Array,Math,Bit Manipulation,Matrix"
799,"Minimum Distance Between BST Nodes
Given the root of a Binary Search Tree (BST), return the minimum difference between the values of any two different nodes in the tree.",Perform a breadth-first search and calculate the difference between each node and all other nodes.,Sort the node values in an array and then iterate through the sorted array to find the minimum difference between adjacent elements.,Calculate the difference between the root node and all its descendants.,Use dynamic programming to store previously computed differences.,Perform an inorder traversal of the BST and keep track of the minimum difference between consecutive nodes.,Easy,algorithms,"Tree,Depth-First Search,Breadth-First Search,Binary Search Tree,Binary Tree"
800,"Letter Case Permutation
Given a string s, you can transform every letter individually to be lowercase or uppercase to create another string. Return a list of all possible strings we could create. Return the output in any order.",Implement a backtracking algorithm exploring all possible uppercase/lowercase combinations using bit manipulation on the ASCII values,"Recursively generate permutations by choosing either uppercase or lowercase for each character, pruning branches when the string length exceeds the input","Convert the input string to lowercase, then generate all possible strings by selectively uppercasing characters based on a binary representation of numbers from 0 to 2^n","Use dynamic programming, storing intermediate permutations in a table, and combining them to generate the final list of permutations",Employ a depth-first search (DFS) algorithm to explore all possible letter case combinations,Medium,algorithms,"String,Backtracking,Bit Manipulation"
801,"Is Graph Bipartite?
There is an undirected graph with n nodes, where each node is numbered between 0 and n - 1. You are given a 2D array graph, where graph[u] is an array of nodes that node u is adjacent to. More formally, for each v in graph[u], there is an undirected edge between node u and node v. The graph has the following properties: A graph is bipartite if the nodes can be partitioned into two independent sets A and B such that every edge in the graph connects a node in set A and a node in set B. Return true if and only if it is bipartite.",Depth-First Search (DFS) without cycle detection,A greedy algorithm that assigns nodes to sets based on immediate neighbors,Checking if the graph is strongly connected,Using Dijkstra's algorithm to find the shortest path between all pairs of nodes,Breadth-First Search (BFS) or Depth-First Search (DFS) with coloring to check for odd-length cycles,Medium,algorithms,"Depth-First Search,Breadth-First Search,Union Find,Graph"
802,"K-th Smallest Prime Fraction
You are given a sorted integer array arr containing 1 and prime numbers, where all the integers of arr are unique. You are also given an integer k. For every i and j where 0 <= i < j < arr.length, we consider the fraction arr[i] / arr[j]. Return the kth smallest fraction considered. Return your answer as an array of integers of size 2, where answer[0] == arr[i] and answer[1] == arr[j].","Binary search the possible range of fractions, counting fractions less than or equal to the mid-point using a nested loop with O(n^2) complexity.",Generate all possible fractions and sort them using a comparison-based sorting algorithm like merge sort with O(n^2 log n) complexity.,"Use a min-heap to store the fractions, initially containing arr[0]/arr[1], arr[0]/arr[2]... and repeatedly extract the smallest and add new fractions involving its numerator.","Apply quickselect to find the k-th smallest fraction directly without sorting all fractions, resulting in O(n^2) average time complexity.","Use binary search to find the k-th smallest fraction. For a given mid value, count the number of fractions less than mid in O(n) time, resulting in O(n log(max_fraction)) complexity.",Medium,algorithms,"Array,Binary Search,Heap (Priority Queue)"
803,"Cheapest Flights Within K Stops
There are n cities connected by some number of flights. You are given an array flights where flights[i] = [fromi, toi, pricei] indicates that there is a flight from city fromi to city toi with cost pricei. You are also given three integers src, dst, and k, return the cheapest price from src to dst with at most k stops. If there is no such route, return -1.","Use Dijkstra's algorithm, pruning paths that exceed K stops after visiting each node.","Employ a Breadth-First Search (BFS) algorithm, tracking the number of stops and price at each level, and prioritizing lower prices.",Apply Depth-First Search (DFS) with memoization to explore all possible paths and return the cheapest one within K stops.,"Implement a Bellman-Ford algorithm, relaxing edges only up to K iterations to represent the maximum allowed stops.","Utilize a modified Bellman-Ford or BFS algorithm that considers the number of stops as a separate dimension, updating prices only if the stop count is within the limit.",Medium,algorithms,"Dynamic Programming,Depth-First Search,Breadth-First Search,Graph,Heap (Priority Queue),Shortest Path"
804,"Rotated Digits
An integer x is a good if after rotating each digit individually by 180 degrees, we get a valid number that is different from x. Each digit must be rotated - we cannot choose to leave it alone. A number is valid if each digit remains a digit after rotation. For example: Given an integer n, return the number of good integers in the range [1, n].","Count integers where all digits are in {0, 1, 8}","Count integers where no digits are in {3, 4, 7}","Count integers where digits are only in {2, 5, 6, 9}","Count integers where digits are exclusively in {0, 1, 8} or exclusively in {2, 5, 6, 9}","Count integers containing at least one digit from {2, 5, 6, 9} and no digits from {3, 4, 7}",Medium,algorithms,"Math,Dynamic Programming"
805,"Escape The Ghosts
You are playing a simplified PAC-MAN game on an infinite 2-D grid. You start at the point [0, 0], and you are given a destination point target = [xtarget, ytarget] that you are trying to get to. There are several ghosts on the map with their starting positions given as a 2D array ghosts, where ghosts[i] = [xi, yi] represents the starting position of the ith ghost. All inputs are integral coordinates. Each turn, you and all the ghosts may independently choose to either move 1 unit in any of the four cardinal directions: north, east, south, or west, or stay still. All actions happen simultaneously. You escape if and only if you can reach the target before any ghost reaches you. If you reach any square (including the target) at the same time as a ghost, it does not count as an escape. Return true if it is possible to escape regardless of how the ghosts move, otherwise return false.",The ghost with the furthest Euclidean distance can be ignored since it cannot reach the target first,Compare the Manhattan distance from the player to the target with the average Manhattan distance from ghosts to the target,"If there is a ghost on the target at the beginning, then you cannot escape",Use Dijkstra's algorithm to find the shortest path from the player to the target and compare it with the shortest paths from ghosts to the target,Compare the Manhattan distance from the player to the target with the minimum Manhattan distance from ghosts to the target,Medium,algorithms,"Array,Math"
806,"Domino and Tromino Tiling
You have two types of tiles: a 2 x 1 domino shape and a tromino shape. You may rotate these shapes. Given an integer n, return the number of ways to tile an 2 x n board. Since the answer may be very large, return it modulo 109 + 7. In a tiling, every square must be covered by a tile. Two tilings are different if and only if there are two 4-directionally adjacent cells on the board such that exactly one of the tilings has both squares occupied by a tile.","O(n) time, O(n) space, using two variables to track full and partial tilings ending at n","O(n^2) time, O(n) space, using dynamic programming and considering all possible sub-tilings","O(2^n) time, O(1) space, using recursion and memoization of overlapping subproblems","O(n log n) time, O(n) space, by sorting the tiling configurations based on their energy levels","O(n) time, O(1) space, using dynamic programming with optimized state variables to track tiling possibilities",Medium,algorithms,Dynamic Programming
807,"Custom Sort String
You are given two strings order and s. All the characters of order are unique and were sorted in some custom order previously. Permute the characters of s so that they match the order that order was sorted. More specifically, if a character x occurs before a character y in order, then x should occur before y in the permuted string. Return any permutation of s that satisfies this property.","Use a hash table to store the counts of characters in 's', then iterate through 'order' and append characters to the result. Finally, append the remaining characters from 's' not present in 'order'.",Sort the string 's' alphabetically and then iterate through 'order' swapping elements in 's' to match the order.,"Create a frequency array for 'order' and 's', compare frequency arrays to determine the sorted array",Remove common characters from both 'order' and 's' and combine to produce the required string,"Create a custom sorting function that prioritizes characters based on their order in 'order'. If a character is not in 'order', it can be appended at the end.",Medium,algorithms,"Hash Table,String,Sorting"
808,"Number of Matching Subsequences
Given a string s and an array of strings words, return the number of words[i] that is a subsequence of s. A subsequence of a string is a new string generated from the original string with some characters (can be none) deleted without changing the relative order of the remaining characters.",Use dynamic programming to find the longest common subsequence between s and each word[i],"Employ a trie data structure to store all words, then traverse s, marking nodes representing subsequences","For each word, iterate through s and use regular expressions to check if the word exists as a subsequence",Sort the words array lexicographically and then perform a binary search on s for each word,"Iterate through the 'words' array and for each word, check if it's a subsequence of 's' using two pointers",Medium,algorithms,"Hash Table,String,Trie,Sorting"
809,"Preimage Size of Factorial Zeroes Function
Let f(x) be the number of zeroes at the end of x!. Recall that x! = 1 * 2 * 3 * ... * x and by convention, 0! = 1. Given an integer k, return the number of non-negative integers x have the property that f(x) = k.",k must be prime,The preimage size is always 1,The preimage size fluctuates randomly with k,The preimage size is equal to k,The preimage size is always 5,Hard,algorithms,"Math,Binary Search"
810,"Valid Tic-Tac-Toe State
Given a Tic-Tac-Toe board as a string array board, return true if and only if it is possible to reach this board position during the course of a valid tic-tac-toe game. The board is a 3 x 3 array that consists of characters ' ', 'X', and 'O'. The ' ' character represents an empty square. Here are the rules of Tic-Tac-Toe:",The number of 'X's must equal the number of 'O's,There cannot be two winners on the board simultaneously,The number of empty cells must be a multiple of 3,The first player ('X') must have made the first move,"The number of 'X's must be equal to or one greater than the number of 'O's, and there cannot be two winners",Medium,algorithms,"Array,String"
691,"Stickers to Spell Word
We are given n different types of stickers. Each sticker has a lowercase English word on it. You would like to spell out the given string target by cutting individual letters from your collection of stickers and rearranging them. You can use each sticker more than once if you want, and you have infinite quantities of each sticker. Return the minimum number of stickers that you need to spell out target. If the task is impossible, return -1. Note: In all test cases, all words were chosen randomly from the 1000 most common US English words, and target was chosen as a concatenation of two random words.","Employ a brute-force search trying all possible combinations of stickers, which guarantees finding the optimal solution but may timeout.",Preprocess the stickers to create a single string containing all characters and then find the shortest substring matching the target.,Sort the stickers by length and greedily choose the longest stickers that contain the most characters from the target string.,"Use dynamic programming with a state representing the letters of the target already covered, minimizing the number of stickers used.","Utilize dynamic programming where the state represents the remaining characters of the target to be covered, optimizing the number of stickers needed.",Hard,algorithms,"Dynamic Programming,Backtracking,Bit Manipulation,Bitmask"
692,"Top K Frequent Words
Given an array of strings words and an integer k, return the k most frequent strings. Return the answer sorted by the frequency from highest to lowest. Sort the words with the same frequency by their lexicographical order.","Use a hash map to count frequencies and then sort the map by value in descending order, breaking ties lexicographically using a separate sort","Sort the input array lexicographically, then iterate, counting frequencies, and select the top k using a min-heap","Use a trie data structure to store the words and their frequencies, then perform a depth-first search to retrieve the top k","Sort the input array by length, then by lexicographical order, and count frequencies to determine the top k","Use a hash map to count frequencies, then use a min-heap of size k to maintain the k most frequent words, comparing by frequency and lexicographical order",Medium,algorithms,"Hash Table,String,Trie,Sorting,Heap (Priority Queue),Bucket Sort,Counting"
693,"Binary Number with Alternating Bits
Given a positive integer, check whether it has alternating bits: namely, if two adjacent bits will always have different values.",Check if the number is a power of 2,"Right shift the number until it becomes zero, checking the least significant bit each time against a fixed value",Convert the number to its base-3 representation and check if any digit is equal to 2,Perform a bitwise AND operation with a pre-calculated mask,"Right shift the number and XOR it with the original number, then check if the result is all 1s",Easy,algorithms,Bit Manipulation
695,"Max Area of Island
You are given an m x n binary matrix grid. An island is a group of 1's (representing land) connected 4-directionally (horizontal or vertical.) You may assume all four edges of the grid are surrounded by water. The area of an island is the number of cells with a value 1 in the island. Return the maximum area of an island in grid. If there is no island, return 0.","Use Breadth-First Search (BFS) and keep track of the number of nodes visited in each connected component, returning the maximum count.","Use Depth-First Search (DFS) but only traverse the first row and first column, assuming island size decreases monotonically.","Iterate through the entire grid and count the number of '1's, returning that count as the max area.",Randomly sample cells in the grid and estimate the island size based on the frequency of '1's encountered.,"Use Depth-First Search (DFS) or Breadth-First Search (BFS) to explore each island, marking visited cells and counting the number of cells in each island, returning the maximum area found.",Medium,algorithms,"Array,Depth-First Search,Breadth-First Search,Union Find,Matrix"
696,"Count Binary Substrings
Given a binary string s, return the number of non-empty substrings that have the same number of 0's and 1's, and all the 0's and all the 1's in these substrings are grouped consecutively. Substrings that occur multiple times are counted the number of times they occur.",Use a sliding window of size 2 and increment the count if the characters are different,"Generate all possible substrings and check if each substring meets the criteria, resulting in O(n^3) complexity","Recursively check substrings of increasing length, pruning branches that don't start with alternating 0s and 1s",Count consecutive groups of 0s and 1s and sum the minimum counts of adjacent groups,"Iterate through the string, keeping track of the counts of consecutive 0s and 1s, and update a counter when a valid substring is found",Easy,algorithms,"Two Pointers,String"
811,"Number of Subarrays with Bounded Maximum
Given an integer array nums and two integers left and right, return the number of contiguous non-empty subarrays such that the value of the maximum array element in that subarray is in the range [left, right]. The test cases are generated so that the answer will fit in a 32-bit integer.",O(n^3),O(n log n),O(n),O(log n),O(n^2),Medium,algorithms,"Array,Two Pointers"
812,"Rotate String
Given two strings s and goal, return true if and only if s can become goal after some number of shifts on s. A shift on s consists of moving the leftmost character of s to the rightmost position.",Check if the lengths of 's' and 'goal' are equal and if 's' is a substring of 'goal',Compare sorted versions of 's' and 'goal' to see if their character sets match,Calculate the hash values of both strings and compare them directly,Use regular expressions to check if 'goal' can be formed by rearranging characters in 's',Check if the lengths of 's' and 'goal' are equal and if 'goal' is a substring of 's + s',Easy,algorithms,"String,String Matching"
