Question ID,Question Title,Question Slug,Topic Tagged text,Topic Tagged ID
359,Logger Rate Limiter,logger-rate-limiter,"Hash Table,Design","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjI1"
360,Sort Transformed Array,sort-transformed-array,"Array,Math,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5"
361,Bomb Enemy,bomb-enemy,"Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz"
362,Design Hit Counter,design-hit-counter,"Array,Hash Table,Binary Search,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0"
363,Max Sum of Rectangle No Larger Than K,max-sum-of-rectangle-no-larger-than-k,"Array,Binary Search,Dynamic Programming,Matrix,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDcw"
364,Nested List Weight Sum II,nested-list-weight-sum-ii,"Stack,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy"
365,Water and Jug Problem,water-and-jug-problem,"Math,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy"
366,Find Leaves of Binary Tree,find-leaves-of-binary-tree,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3"
367,Valid Perfect Square,valid-perfect-square,"Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx"
368,Largest Divisible Subset,largest-divisible-subset,"Array,Math,Dynamic Programming,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDQ5"
369,Plus One Linked List,plus-one-linked-list,"Linked List,Math","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg="
370,Range Addition,range-addition,"Array,Prefix Sum","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDY4"
371,Sum of Two Integers,sum-of-two-integers,"Math,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5"
372,Super Pow,super-pow,"Math,Divide and Conquer","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEy"
373,Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,"Array,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUw"
374,Guess Number Higher or Lower,guess-number-higher-or-lower,"Binary Search,Interactive","VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDU5"
375,Guess Number Higher or Lower II,guess-number-higher-or-lower-ii,"Math,Dynamic Programming,Game Theory","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDcz"
376,Wiggle Subsequence,wiggle-subsequence,"Array,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3"
377,Combination Sum IV,combination-sum-iv,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz"
378,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,"Array,Binary Search,Sorting,Heap (Priority Queue),Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz"
379,Design Phone Directory,design-phone-directory,"Array,Hash Table,Linked List,Design,Queue","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjM0"
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,"Array,Hash Table,Math,Design,Randomized","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDc1"
381,Insert Delete GetRandom O(1) - Duplicates allowed,insert-delete-getrandom-o1-duplicates-allowed,"Array,Hash Table,Math,Design,Randomized","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDc1"
382,Linked List Random Node,linked-list-random-node,"Linked List,Math,Reservoir Sampling,Randomized","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM2,VG9waWNUYWdOb2RlOjYxMDc1"
383,Ransom Note,ransom-note,"Hash Table,String,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDYy"
384,Shuffle an Array,shuffle-an-array,"Array,Math,Randomized","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDc1"
385,Mini Parser,mini-parser,"String,Stack,Depth-First Search","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx"
386,Lexicographical Numbers,lexicographical-numbers,"Depth-First Search,Trie","VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI3"
387,First Unique Character in a String,first-unique-character-in-a-string,"Hash Table,String,Queue,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjM0,VG9waWNUYWdOb2RlOjYxMDYy"
388,Longest Absolute File Path,longest-absolute-file-path,"String,Stack,Depth-First Search","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIx"
389,Find the Difference,find-the-difference,"Hash Table,String,Bit Manipulation,Sorting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDQ5"
390,Elimination Game,elimination-game,Math,VG9waWNUYWdOb2RlOjg=
391,Perfect Rectangle,perfect-rectangle,"Array,Line Sweep","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjU2MTE5"
392,Is Subsequence,is-subsequence,"Two Pointers,String,Dynamic Programming","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz"
393,UTF-8 Validation,utf-8-validation,"Array,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE5"
394,Decode String,decode-string,"String,Stack,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx"
395,Longest Substring with At Least K Repeating Characters,longest-substring-with-at-least-k-repeating-characters,"Hash Table,String,Divide and Conquer,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjU1ODIx"
396,Rotate Function,rotate-function,"Array,Math,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz"
397,Integer Replacement,integer-replacement,"Dynamic Programming,Greedy,Bit Manipulation,Memoization","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz"
398,Random Pick Index,random-pick-index,"Hash Table,Math,Reservoir Sampling,Randomized","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM2,VG9waWNUYWdOb2RlOjYxMDc1"
399,Evaluate Division,evaluate-division,"Array,Depth-First Search,Breadth-First Search,Union Find,Graph,Shortest Path","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjIz,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjYxMDc2"
400,Nth Digit,nth-digit,"Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx"
401,Binary Watch,binary-watch,"Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5"
402,Remove K Digits,remove-k-digits,"String,Stack,Greedy,Monotonic Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDU0"
403,Frog Jump,frog-jump,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz"
404,Sum of Left Leaves,sum-of-left-leaves,"Tree,Depth-First Search,Breadth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDU3"
405,Convert a Number to Hexadecimal,convert-a-number-to-hexadecimal,"Math,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5"
406,Queue Reconstruction by Height,queue-reconstruction-by-height,"Array,Greedy,Binary Indexed Tree,Segment Tree,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjI4,VG9waWNUYWdOb2RlOjI5,VG9waWNUYWdOb2RlOjYxMDQ5"
407,Trapping Rain Water II,trapping-rain-water-ii,"Array,Breadth-First Search,Heap (Priority Queue),Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDUz"
408,Valid Word Abbreviation,valid-word-abbreviation,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw"
409,Longest Palindrome,longest-palindrome,"Hash Table,String,Greedy","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3"
410,Split Array Largest Sum,split-array-largest-sum,"Array,Binary Search,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3"
411,Minimum Unique Word Abbreviation,minimum-unique-word-abbreviation,"String,Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5"
412,Fizz Buzz,fizz-buzz,"Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1"
413,Arithmetic Slices,arithmetic-slices,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz"
414,Third Maximum Number,third-maximum-number,"Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5"
415,Add Strings,add-strings,"Math,String,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1"
416,Partition Equal Subset Sum,partition-equal-subset-sum,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz"
417,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,"Array,Depth-First Search,Breadth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUz"
418,Sentence Screen Fitting,sentence-screen-fitting,"String,Dynamic Programming,Simulation","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDU1"
419,Battleships in a Board,battleships-in-a-board,"Array,Depth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDUz"
420,Strong Password Checker,strong-password-checker,"String,Greedy,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDUw"
421,Maximum XOR of Two Numbers in an Array,maximum-xor-of-two-numbers-in-an-array,"Array,Hash Table,Bit Manipulation,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjI3"
422,Valid Word Square,valid-word-square,"Array,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz"
423,Reconstruct Original Digits from English,reconstruct-original-digits-from-english,"Hash Table,Math,String","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw"
424,Longest Repeating Character Replacement,longest-repeating-character-replacement,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx"
425,Word Squares,word-squares,"Array,String,Backtracking,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjI3"
758,Convert Binary Search Tree to Sorted Doubly Linked List,convert-binary-search-tree-to-sorted-doubly-linked-list,"Linked List,Stack,Tree,Depth-First Search,Binary Search Tree,Binary Tree,Doubly-Linked List","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3,VG9waWNUYWdOb2RlOjYxMDU4"
772,Construct Quad Tree,construct-quad-tree,"Array,Divide and Conquer,Tree,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjYxMDUz"
765,Serialize and Deserialize N-ary Tree,serialize-and-deserialize-n-ary-tree,"String,Tree,Depth-First Search,Breadth-First Search","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy"
764,N-ary Tree Level Order Traversal,n-ary-tree-level-order-traversal,"Tree,Breadth-First Search","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIy"
766,Flatten a Multilevel Doubly Linked List,flatten-a-multilevel-doubly-linked-list,"Linked List,Depth-First Search,Doubly-Linked List","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU4"
771,Encode N-ary Tree to Binary Tree,encode-n-ary-tree-to-binary-tree,"Tree,Depth-First Search,Breadth-First Search,Design,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU3"
432,All O`one Data Structure,all-oone-data-structure,"Hash Table,Linked List,Design,Doubly-Linked List","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU4"
433,Minimum Genetic Mutation,minimum-genetic-mutation,"Hash Table,String,Breadth-First Search","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIy"
434,Number of Segments in a String,number-of-segments-in-a-string,String,VG9waWNUYWdOb2RlOjEw
435,Non-overlapping Intervals,non-overlapping-intervals,"Array,Dynamic Programming,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5"
436,Find Right Interval,find-right-interval,"Array,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5"
437,Path Sum III,path-sum-iii,"Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3"
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,"Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx"
439,Ternary Expression Parser,ternary-expression-parser,"String,Stack,Recursion","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjMx"
440,K-th Smallest in Lexicographical Order,k-th-smallest-in-lexicographical-order,Trie,VG9waWNUYWdOb2RlOjI3
441,Arranging Coins,arranging-coins,"Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx"
442,Find All Duplicates in an Array,find-all-duplicates-in-an-array,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY="
443,String Compression,string-compression,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw"
444,Sequence Reconstruction,sequence-reconstruction,"Array,Graph,Topological Sort","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjI0,VG9waWNUYWdOb2RlOjI2"
445,Add Two Numbers II,add-two-numbers-ii,"Linked List,Math,Stack","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE1"
446,Arithmetic Slices II - Subsequence,arithmetic-slices-ii-subsequence,"Array,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz"
447,Number of Boomerangs,number-of-boomerangs,"Array,Hash Table,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjg="
448,Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY="
449,Serialize and Deserialize BST,serialize-and-deserialize-bst,"String,Tree,Depth-First Search,Breadth-First Search,Design,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3"
450,Delete Node in a BST,delete-node-in-a-bst,"Tree,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3"
451,Sort Characters By Frequency,sort-characters-by-frequency,"Hash Table,String,Sorting,Heap (Priority Queue),Bucket Sort,Counting","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5,VG9waWNUYWdOb2RlOjYxMDUw,VG9waWNUYWdOb2RlOjYxMDYw,VG9waWNUYWdOb2RlOjYxMDYy"
452,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,"Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5"
453,Minimum Moves to Equal Array Elements,minimum-moves-to-equal-array-elements,"Array,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg="
454,4Sum II,4sum-ii,"Array,Hash Table","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY="
455,Assign Cookies,assign-cookies,"Array,Greedy,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE3,VG9waWNUYWdOb2RlOjYxMDQ5"
456,132 Pattern,132-pattern,"Array,Binary Search,Stack,Monotonic Stack,Ordered Set","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0,VG9waWNUYWdOb2RlOjYxMDcw"
457,Circular Array Loop,circular-array-loop,"Array,Hash Table,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjk="
458,Poor Pigs,poor-pigs,"Math,Dynamic Programming,Combinatorics","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDU2"
459,Repeated Substring Pattern,repeated-substring-pattern,"String,String Matching","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDUy"
460,LFU Cache,lfu-cache,"Hash Table,Linked List,Design,Doubly-Linked List","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjI1,VG9waWNUYWdOb2RlOjYxMDU4"
461,Hamming Distance,hamming-distance,Bit Manipulation,VG9waWNUYWdOb2RlOjE5
462,Minimum Moves to Equal Array Elements II,minimum-moves-to-equal-array-elements-ii,"Array,Math,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjYxMDQ5"
463,Island Perimeter,island-perimeter,"Array,Depth-First Search,Breadth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjYxMDUz"
464,Can I Win,can-i-win,"Math,Dynamic Programming,Bit Manipulation,Memoization,Game Theory,Bitmask","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjMz,VG9waWNUYWdOb2RlOjYxMDcz,VG9waWNUYWdOb2RlOjYxMDc4"
465,Optimal Account Balancing,optimal-account-balancing,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4"
466,Count The Repetitions,count-the-repetitions,"String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz"
467,Unique Substrings in Wraparound String,unique-substrings-in-wraparound-string,"String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz"
468,Validate IP Address,validate-ip-address,String,VG9waWNUYWdOb2RlOjEw
469,Convex Polygon,convex-polygon,"Math,Geometry","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4"
903,Implement Rand10() Using Rand7(),implement-rand10-using-rand7,"Math,Rejection Sampling,Randomized,Probability and Statistics","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjU0NTY5,VG9waWNUYWdOb2RlOjYxMDc1,VG9waWNUYWdOb2RlOjYxMDc5"
471,Encode String with Shortest Length,encode-string-with-shortest-length,"String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz"
472,Concatenated Words,concatenated-words,"Array,String,Dynamic Programming,Depth-First Search,Trie","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjI3"
473,Matchsticks to Square,matchsticks-to-square,"Array,Dynamic Programming,Backtracking,Bit Manipulation,Bitmask","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDc4"
474,Ones and Zeroes,ones-and-zeroes,"Array,String,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz"
475,Heaters,heaters,"Array,Two Pointers,Binary Search,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDQ5"
476,Number Complement,number-complement,Bit Manipulation,VG9waWNUYWdOb2RlOjE5
477,Total Hamming Distance,total-hamming-distance,"Array,Math,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE5"
915,Generate Random Point in a Circle,generate-random-point-in-a-circle,"Math,Geometry,Rejection Sampling,Randomized","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjM4,VG9waWNUYWdOb2RlOjU0NTY5,VG9waWNUYWdOb2RlOjYxMDc1"
479,Largest Palindrome Product,largest-palindrome-product,Math,VG9waWNUYWdOb2RlOjg=
480,Sliding Window Median,sliding-window-median,"Array,Hash Table,Sliding Window,Heap (Priority Queue)","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjU1ODIx,VG9waWNUYWdOb2RlOjYxMDUw"
481,Magical String,magical-string,"Two Pointers,String","VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjEw"
482,License Key Formatting,license-key-formatting,String,VG9waWNUYWdOb2RlOjEw
483,Smallest Good Base,smallest-good-base,"Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx"
484,Find Permutation,find-permutation,"Array,Stack,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjE3"
485,Max Consecutive Ones,max-consecutive-ones,Array,VG9waWNUYWdOb2RlOjU=
486,Predict the Winner,predict-the-winner,"Array,Math,Dynamic Programming,Recursion,Game Theory","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMx,VG9waWNUYWdOb2RlOjYxMDcz"
487,Max Consecutive Ones II,max-consecutive-ones-ii,"Array,Dynamic Programming,Sliding Window","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjU1ODIx"
488,Zuma Game,zuma-game,"String,Dynamic Programming,Breadth-First Search,Memoization","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjIy,VG9waWNUYWdOb2RlOjMz"
