Question Title,Question Slug,Question ID,Question Text,Topic Tagged text,Topic Tagged ID,Difficulty Level,Success Rate,total submission,total accepted,company tag,Likes,Dislikes,Hints,Similar Questions ID,Similar Questions Text
Group Anagrams,group-anagrams,49,"Given an array of strings strs, group the anagrams together. You can return the answer in any order. ","Array,Hash Table,String,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,71.0,5435654,3857750,,20629,696,,"242,249,1353,2605","Valid Anagram,Group Shifted Strings,Find Resultant Array After Removing Anagrams,Count Anagrams"
"Pow(x, n)",powx-n,50,"Implement pow(x, n), which calculates x raised to the power n (i.e., xn). ","Math,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx",Medium,37.1,6094249,2258890,,10790,10221,,"69,372,2680","Sqrt(x),Super Pow,Count Collisions of Monkeys on a Polygon"
N-Queens,n-queens,51,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return all distinct solutions to the n-queens puzzle. You may return the answer in any order. Each solution contains a distinct board configuration of the n-queens' placement, where 'Q' and '.' both indicate a queen and an empty space, respectively. ","Array,Backtracking","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0",Hard,72.9,1378041,1004776,,13368,323,,"52,1043","N-Queens II,Grid Illumination"
N-Queens II,n-queens-ii,52,"The n-queens puzzle is the problem of placing n queens on an n x n chessboard such that no two queens attack each other. Given an integer n, return the number of distinct solutions to the n-queens puzzle. ",Backtracking,VG9waWNUYWdOb2RlOjE0,Hard,76.8,650921,499748,,4089,275,,51,N-Queens
Maximum Subarray,maximum-subarray,53,"Given an integer array nums, find the subarray with the largest sum, and return its sum. ","Array,Divide and Conquer,Dynamic Programming","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEy,VG9waWNUYWdOb2RlOjEz",Medium,52.1,9700503,5056690,,35867,1517,,"121,152,697,1020,1348,1849,1893,2360,2394,2589,2669,2715,3265,3688","Best Time to Buy and Sell Stock,Maximum Product Subarray,Degree of an Array,Longest Turbulent Subarray,Maximum Score Of Spliced Array,Maximum Absolute Sum of Any Subarray,Maximum Subarray Sum After One Operation,Substring With Largest Variance,Count Subarrays With Score Less Than K,Maximum Value of a String in an Array,Find the Substring With Maximum Cost,K Items With the Maximum Sum,Maximum Good Subarray Sum,Maximize Subarray Sum After Removing All Occurrences of One Element"
Spiral Matrix,spiral-matrix,54,"Given an m x n matrix, return all elements of the matrix in spiral order. ","Array,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Medium,54.0,3619862,1955393,,16170,1446,"Well for some problems, the best way really is to come up with some algorithms for simulation. Basically, you need to simulate what the problem asks us to do. We go boundary by boundary and move inwards. That is the essential operation. First row, last column, last row, first column, and then we move inwards by 1 and repeat. That's all. That is all the simulation that we need. Think about when you want to switch the progress on one of the indexes. If you progress on i out of [i, j], you'll shift in the same column. Similarly, by changing values for j, you'd be shifting in the same row.
Also, keep track of the end of a boundary so that you can move inwards and then keep repeating. It's always best to simulate edge cases like a single column or a single row to see if anything breaks or not.","59,921,2411","Spiral Matrix II,Spiral Matrix III,Spiral Matrix IV"
Jump Game,jump-game,55,"You are given an integer array nums. You are initially positioned at the array's first index, and each element in the array represents your maximum jump length at that position. Return true if you can reach the last index, or false otherwise. ","Array,Dynamic Programming,Greedy","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE3",Medium,39.5,6732171,2661061,,20667,1399,,"45,1428,2001,2056,2697,2872","Jump Game II,Jump Game III,Jump Game VII,Jump Game VIII,Minimum Number of Visited Cells in a Grid,Largest Element in an Array after Merge Operations"
Merge Intervals,merge-intervals,56,"Given an array of intervals where intervals[i] = [starti, endi], merge all overlapping intervals, and return an array of the non-overlapping intervals that cover all the intervals in the input. ","Array,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,49.4,6580170,3253489,,23499,851,,"57,252,253,495,616,715,761,768,1028,2297,2319,2357,2488,2536,2651,3034,3430,3565","Insert Interval,Meeting Rooms,Meeting Rooms II,Teemo Attacking,Add Bold Tag in String,Range Module,Employee Free Time,Partition Labels,Interval List Intersections,Amount of New Area Painted Each Day,Longest Substring of One Repeating Character,Count Integers in Intervals,Divide Intervals Into Minimum Number of Groups,Determine if Two Events Have Conflict,Count Ways to Group Overlapping Ranges,Points That Intersect With Cars,Count Days Without Meetings,Minimize Connected Groups by Inserting Interval"
Insert Interval,insert-interval,57,"You are given an array of non-overlapping intervals intervals where intervals[i] = [starti, endi] represent the start and the end of the ith interval and intervals is sorted in ascending order by starti. You are also given an interval newInterval = [start, end] that represents the start and end of another interval. Insert newInterval into intervals such that intervals is still sorted in ascending order by starti and intervals still does not have any overlapping intervals (merge overlapping intervals if necessary). Return intervals after the insertion. Note that you don't need to modify intervals in-place. You can make a new array and return it. ",Array,VG9waWNUYWdOb2RlOjU=,Medium,43.5,3388769,1474909,,11139,884,Intervals Array is sorted. Can you use Binary Search to find the correct position to insert the new Interval.? Can you try merging the overlapping intervals while inserting the new interval? This can be done by comparing the end of the last interval with the start of the new interval and vice versa.,"56,715,2357","Merge Intervals,Range Module,Count Integers in Intervals"
Length of Last Word,length-of-last-word,58,"Given a string s consisting of words and spaces, return the length of the last word in the string. A word is a maximal substring consisting of non-space characters only. ",String,VG9waWNUYWdOb2RlOjEw,Easy,56.4,4948709,2790087,,5793,329,,,
Spiral Matrix II,spiral-matrix-ii,59,"Given a positive integer n, generate an n x n matrix filled with elements from 1 to n2 in spiral order. ","Array,Matrix,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU1",Medium,73.5,945465,694620,,6667,273,,"54,921,2411","Spiral Matrix,Spiral Matrix III,Spiral Matrix IV"
Permutation Sequence,permutation-sequence,60,"The set [1, 2, 3, ..., n] contains a total of n! unique permutations. By listing and labeling all of the permutations in order, we get the following sequence for n = 3: Given n and k, return the kth permutation sequence. ","Math,Recursion","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjMx",Hard,50.0,968449,484322,,6992,492,,"31,46","Next Permutation,Permutations"
Rotate List,rotate-list,61,"Given the head of a linked list, rotate the list to the right by k places. ","Linked List,Two Pointers","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",Medium,40.0,3280903,1312147,,10499,1506,,"189,725","Rotate Array,Split Linked List in Parts"
Unique Paths,unique-paths,62,"There is a robot on an m x n grid. The robot is initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. Given the two integers m and n, return the number of possible unique paths that the robot can take to reach the bottom-right corner. The test cases are generated so that the answer will be less than or equal to 2 * 109. ","Math,Dynamic Programming,Combinatorics","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDU2",Medium,65.8,3603067,2371009,,17566,471,,"63,64,174,1394,2192,2477,2521","Unique Paths II,Minimum Path Sum,Dungeon Game,Minimum Path Cost in a Grid,Minimum Cost Homecoming of a Robot in a Grid,Number of Ways to Reach a Position After Exactly k Steps,Paths in Matrix Whose Sum Is Divisible by K"
Unique Paths II,unique-paths-ii,63,"You are given an m x n integer array grid. There is a robot initially located at the top-left corner (i.e., grid[0][0]). The robot tries to move to the bottom-right corner (i.e., grid[m - 1][n - 1]). The robot can only move either down or right at any point in time. An obstacle and space are marked as 1 or 0 respectively in grid. A path that the robot takes cannot include any square that is an obstacle. Return the number of possible unique paths that the robot can take to reach the bottom-right corner. The testcases are generated so that the answer will be less than or equal to 2 * 109. ","Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,43.2,2849027,1230677,,9263,538,"Use dynamic programming since, from each cell, you can move to the right or down. assume dp[i][j] is the number of unique paths to reach (i, j). dp[i][j] = dp[i][j -1] + dp[i - 1][j]. Be careful when you encounter an obstacle. set its value in dp to 0.","62,1022,1394,2521","Unique Paths,Unique Paths III,Minimum Path Cost in a Grid,Paths in Matrix Whose Sum Is Divisible by K"
Minimum Path Sum,minimum-path-sum,64,"Given a m x n grid filled with non-negative numbers, find a path from top left to bottom right, which minimizes the sum of all numbers along its path. Note: You can only move either down or right at any point in time. ","Array,Dynamic Programming,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjYxMDUz",Medium,66.5,2310426,1537328,,13112,180,,"62,174,741,1394,2067,2192,2521,2653,2686","Unique Paths,Dungeon Game,Cherry Pickup,Minimum Path Cost in a Grid,Maximum Number of Points with Cost,Minimum Cost Homecoming of a Robot in a Grid,Paths in Matrix Whose Sum Is Divisible by K,Check if There is a Path With Equal Number of 0's And 1's,Minimum Cost of a Path With Special Roads"
Valid Number,valid-number,65,"Given a string s, return whether s is a valid number.

For example, all the following are valid numbers: ""2"", ""0089"", ""-0.1"", ""+3.14"", ""4."", ""-.9"", ""2e10"", ""-90E3"", ""3e+7"", ""+6e-1"", ""53.5e93"", ""-123.456e789"", while the following are not valid numbers: ""abc"", ""1a"", ""1e"", ""e3"", ""99e2.5"", ""--6"", ""-+3"", ""95a54e53"". Formally, a valid number is defined using one of the following definitions: An integer number is defined with an optional sign '-' or '+' followed by digits. A decimal number is defined with an optional sign '-' or '+' followed by one of the following definitions: An exponent is defined with an exponent notation 'e' or 'E' followed by an integer number. The digits are defined as one or more digits. ",String,VG9waWNUYWdOb2RlOjEw,Hard,21.6,2110903,455871,,1406,2167,,8,String to Integer (atoi)
Plus One,plus-one,66,"You are given a large integer represented as an integer array digits, where each digits[i] is the ith digit of the integer. The digits are ordered from most significant to least significant in left-to-right order. The large integer does not contain any leading 0's. Increment the large integer by one and return the resulting array of digits. ","Array,Math","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjg=",Easy,47.6,6249292,2973663,,10413,5499,,"43,67,369,1031,2710","Multiply Strings,Add Binary,Plus One Linked List,Add to Array-Form of Integer,Minimum Operations to Reduce an Integer to 0"
Add Binary,add-binary,67,"Given two binary strings a and b, return their sum as a binary string. ","Math,String,Bit Manipulation,Simulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE5,VG9waWNUYWdOb2RlOjYxMDU1",Easy,55.7,3383356,1884916,,9966,1047,,"2,43,66,1031","Add Two Numbers,Multiply Strings,Plus One,Add to Array-Form of Integer"
Text Justification,text-justification,68,"Given an array of strings words and a width maxWidth, format the text such that each line has exactly maxWidth characters and is fully (left and right) justified. You should pack your words in a greedy approach; that is, pack as many words as you can in each line. Pad extra spaces ' ' when necessary so that each line has exactly maxWidth characters. Extra spaces between words should be distributed as evenly as possible. If the number of spaces on a line does not divide evenly between words, the empty slots on the left will be assigned more spaces than the slots on the right. For the last line of text, it should be left-justified, and no extra space is inserted between words. Note: ","Array,String,Simulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjYxMDU1",Hard,48.2,1138647,549088,,4203,5122,,"1714,2260,2563","Rearrange Spaces Between Words,Divide a String Into Groups of Size k,Split Message Based on Limit"
Sqrt(x),sqrtx,69,"Given a non-negative integer x, return the square root of x rounded down to the nearest integer. The returned integer should be non-negative as well. You must not use any built-in exponent function or operator. ","Math,Binary Search","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEx",Easy,40.4,6471856,2614789,,8945,4588,Try exploring all integers. (Credits: @annujoshi) Use the sorted property of integers to reduced the search space. (Credits: @annujoshi),"50,367","Pow(x, n),Valid Perfect Square"
Climbing Stairs,climbing-stairs,70,You are climbing a staircase. It takes n steps to reach the top. Each time you can either climb 1 or 2 steps. In how many distinct ways can you climb to the top? ,"Math,Dynamic Programming,Memoization","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjMz",Easy,53.6,7999640,4284490,,23271,964,"To reach nth step, what could have been your previous steps? (Think about the step sizes)","747,1013,1236,2362,2397,2477,2562,2591,3414,3489","Min Cost Climbing Stairs,Fibonacci Number,N-th Tribonacci Number,Minimum Rounds to Complete All Tasks,Count Number of Ways to Place Houses,Number of Ways to Reach a Position After Exactly k Steps,Count Ways To Build Good Strings,Frog Jump II,Find Number of Ways to Reach the K-th Stair,The Number of Ways to Make the Sum"
Simplify Path,simplify-path,71,"You are given an absolute path for a Unix-style file system, which always begins with a slash '/'. Your task is to transform this absolute path into its simplified canonical path. The rules of a Unix-style file system are as follows: The simplified canonical path should follow these rules: Return the simplified canonical path. ","String,Stack","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE1",Medium,47.9,2293991,1099913,,6150,1368,,,
Edit Distance,edit-distance,72,"Given two strings word1 and word2, return the minimum number of operations required to convert word1 to word2. You have the following three operations permitted on a word: ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,58.8,2001315,1177629,,15710,284,,"161,583,712,1105,2311,3808,3866","One Edit Distance,Delete Operation for Two Strings,Minimum ASCII Delete Sum for Two Strings,Uncrossed Lines,Minimum White Tiles After Covering With Carpets,Longest Palindrome After Substring Concatenation II,Minimum Steps to Convert String with Operations"
Set Matrix Zeroes,set-matrix-zeroes,73,"Given an m x n integer matrix matrix, if an element is 0, set its entire row and column to 0's. You must do it in place. ","Array,Hash Table,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjYxMDUz",Medium,60.8,3471937,2110096,,16066,804,"If any cell of the matrix has a zero we can record its row and column number using additional memory.
But if you don't want to use extra memory then you can manipulate the array instead. i.e. simulating exactly what the question says. Setting cell values to zero on the fly while iterating might lead to discrepancies. What if you use some other integer value as your marker?
There is still a better approach for this problem with O(1) space. We could have used 2 sets to keep a record of rows/columns which need to be set to zero. But for an O(1) space solution, you can use one of the rows and and one of the columns to keep track of this information. We can use the first cell of every row and column as a flag. This flag would determine whether a row or column has been set to zero.","289,2244,2259,2314","Game of Life,Number of Laser Beams in a Bank,Minimum Operations to Remove Adjacent Ones in Matrix,Remove All Ones With Row and Column Flips II"
Search a 2D Matrix,search-a-2d-matrix,74,"You are given an m x n integer matrix matrix with the following two properties: Given an integer target, return true if target is in matrix or false otherwise. You must write a solution in O(log(m * n)) time complexity. ","Array,Binary Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx,VG9waWNUYWdOb2RlOjYxMDUz",Medium,52.3,4573804,2393796,,16925,455,,"240,2563","Search a 2D Matrix II,Split Message Based on Limit"
Sort Colors,sort-colors,75,"Given an array nums with n objects colored red, white, or blue, sort them in-place so that objects of the same color are adjacent, with the colors in the order red, white, and blue. We will use the integers 0, 1, and 2 to represent the color red, white, and blue, respectively. You must solve this problem without using the library's sort function. ","Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",Medium,67.6,4448083,3008996,,20214,718,"A rather straight forward solution is a two-pass algorithm using counting sort. Iterate the array counting number of 0's, 1's, and 2's. Overwrite array with the total number of 0's, then 1's and followed by 2's.","148,280,324","Sort List,Wiggle Sort,Wiggle Sort II"
Minimum Window Substring,minimum-window-substring,76,"Given two strings s and t of lengths m and n respectively, return the minimum window substring of s such that every character in t (including duplicates) is included in the window. If there is no such substring, return the empty string """". The testcases will be generated such that the answer is unique. ","Hash Table,String,Sliding Window","VG9waWNUYWdOb2RlOjY=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjU1ODIx",Hard,45.4,3907669,1774535,,19021,789,"Use two pointers to create a window of letters in s, which would have all the characters from t. Expand the right pointer until all the characters of t are covered. Once all the characters are covered, move the left pointer and ensure that all the characters are still covered to minimize the subarray size. Continue expanding the right and left pointers until you reach the end of s.","30,209,239,567,632,727,3572,3573","Substring with Concatenation of All Words,Minimum Size Subarray Sum,Sliding Window Maximum,Permutation in String,Smallest Range Covering Elements from K Lists,Minimum Window Subsequence,Count Substrings That Can Be Rearranged to Contain a String II,Count Substrings That Can Be Rearranged to Contain a String I"
Combinations,combinations,77,"Given two integers n and k, return all possible combinations of k numbers chosen from the range [1, n]. You may return the answer in any order. ",Backtracking,VG9waWNUYWdOb2RlOjE0,Medium,73.0,1559225,1137505,,8604,238,,"39,46","Combination Sum,Permutations"
Subsets,subsets,78,"Given an integer array nums of unique elements, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Return the solution in any order. ","Array,Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5",Medium,80.9,3139250,2540590,,18284,309,,"90,320,800,2109,2170","Subsets II,Generalized Abbreviation,Letter Case Permutation,Find Array Given Subset Sums,Count Number of Maximum Bitwise-OR Subsets"
Word Search,word-search,79,"Given an m x n grid of characters board and a string word, return true if word exists in the grid. The word can be constructed from letters of sequentially adjacent cells, where adjacent cells are horizontally or vertically neighboring. The same letter cell may not be used more than once. ","Array,String,Backtracking,Depth-First Search,Matrix","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDUz",Medium,45.3,4678548,2120814,,16841,715,,212,Word Search II
Remove Duplicates from Sorted Array II,remove-duplicates-from-sorted-array-ii,80,"Given an integer array nums sorted in non-decreasing order, remove some duplicates in-place such that each unique element appears at most twice. The relative order of the elements should be kept the same. Since it is impossible to change the length of the array in some languages, you must instead have the result be placed in the first part of the array nums. More formally, if there are k elements after removing the duplicates, then the first k elements of nums should hold the final result. It does not matter what you leave beyond the first k elements. Return k after placing the final result in the first k slots of nums. Do not allocate extra space for another array. You must do this by modifying the input array in-place with O(1) extra memory. Custom Judge: The judge will test your solution with the following code: If all assertions pass, then your solution will be accepted. ","Array,Two Pointers","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=",Medium,63.0,2513421,1582259,,7701,1456,,26,Remove Duplicates from Sorted Array
Search in Rotated Sorted Array II,search-in-rotated-sorted-array-ii,81,"There is an integer array nums sorted in non-decreasing order (not necessarily with distinct values). Before being passed to your function, nums is rotated at an unknown pivot index k (0 <= k < nums.length) such that the resulting array is [nums[k], nums[k+1], ..., nums[n-1], nums[0], nums[1], ..., nums[k-1]] (0-indexed). For example, [0,1,2,4,4,4,5,6,6,7] might be rotated at pivot index 5 and become [4,5,6,6,7,0,1,2,4,4]. Given the array nums after the rotation and an integer target, return true if target is in nums, or false if it is not in nums. You must decrease the overall operation steps as much as possible. ","Array,Binary Search","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEx",Medium,38.9,2545210,990303,,9076,1093,,33,Search in Rotated Sorted Array
Remove Duplicates from Sorted List II,remove-duplicates-from-sorted-list-ii,82,"Given the head of a sorted linked list, delete all nodes that have duplicate numbers, leaving only distinct numbers from the original list. Return the linked list sorted as well. ","Linked List,Two Pointers","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",Medium,49.9,1870047,933998,,9271,264,,"83,1982","Remove Duplicates from Sorted List,Remove Duplicates From an Unsorted Linked List"
Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,83,"Given the head of a sorted linked list, delete all duplicates such that each element appears only once. Return the linked list sorted as well. ",Linked List,VG9waWNUYWdOb2RlOjc=,Easy,54.9,3585686,1969377,,9283,340,,"82,1982","Remove Duplicates from Sorted List II,Remove Duplicates From an Unsorted Linked List"
Largest Rectangle in Histogram,largest-rectangle-in-histogram,84,"Given an array of integers heights representing the histogram's bar height where the width of each bar is 1, return the area of the largest rectangle in the histogram. ","Array,Stack,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDU0",Hard,47.5,2564199,1217199,,18393,334,,"85,1918","Maximal Rectangle,Maximum Score of a Good Subarray"
Maximal Rectangle,maximal-rectangle,85,"Given a rows x cols binary matrix filled with 0's and 1's, find the largest rectangle containing only 1's and return its area. ","Array,Dynamic Programming,Stack,Matrix,Monotonic Stack","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjYxMDUz,VG9waWNUYWdOb2RlOjYxMDU0",Hard,53.8,1121311,603505,,11182,202,,"84,221,3652","Largest Rectangle in Histogram,Maximal Square,Find Sorted Submatrices With Maximum Element at Most K"
Partition List,partition-list,86,"Given the head of a linked list and a value x, partition it such that all nodes less than x come before nodes greater than or equal to x. You should preserve the original relative order of the nodes in each of the two partitions. ","Linked List,Two Pointers","VG9waWNUYWdOb2RlOjc=,VG9waWNUYWdOb2RlOjk=",Medium,59.0,1317284,777805,,7727,944,,2265,Partition Array According to Given Pivot
Scramble String,scramble-string,87,"We can scramble a string s to get a string t using the following algorithm: Given two strings s1 and s2 of the same length, return true if s2 is a scrambled string of s1, otherwise, return false. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Hard,42.2,639563,270077,,3490,1293,,,
Merge Sorted Array,merge-sorted-array,88,"You are given two integer arrays nums1 and nums2, sorted in non-decreasing order, and two integers m and n, representing the number of elements in nums1 and nums2 respectively. Merge nums1 and nums2 into a single array sorted in non-decreasing order. The final sorted array should not be returned by the function, but instead be stored inside the array nums1. To accommodate this, nums1 has a length of m + n, where the first m elements denote the elements that should be merged, and the last n elements are set to 0 and should be ignored. nums2 has a length of n. ","Array,Two Pointers,Sorting","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjk=,VG9waWNUYWdOb2RlOjYxMDQ5",Easy,53.0,8832435,4678944,,17161,2382,"You can easily solve this problem if you simply think about two elements at a time rather than two arrays. We know that each of the individual arrays is sorted. What we don't know is how they will intertwine. Can we take a local decision and arrive at an optimal solution? If you simply consider one element each at a time from the two arrays and make a decision and proceed accordingly, you will arrive at the optimal solution.","21,1019,1028,2599","Merge Two Sorted Lists,Squares of a Sorted Array,Interval List Intersections,Take K of Each Character From Left and Right"
Gray Code,gray-code,89,"An n-bit gray code sequence is a sequence of 2n integers where: Given an integer n, return any valid n-bit gray code sequence. ","Math,Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5",Medium,61.9,571045,353678,,2390,2797,,717,1-bit and 2-bit Characters
Subsets II,subsets-ii,90,"Given an integer array nums that may contain duplicates, return all possible subsets (the power set). The solution set must not contain duplicate subsets. Return the solution in any order. ","Array,Backtracking,Bit Manipulation","VG9waWNUYWdOb2RlOjU=,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjE5",Medium,59.6,2059713,1226929,,10372,374,,"78,2109","Subsets,Find Array Given Subset Sums"
Decode Ways,decode-ways,91,"You have intercepted a secret message encoded as a string of numbers. The message is decoded via the following mapping: ""1"" -> 'A'
""2"" -> 'B'
...
""25"" -> 'Y'
""26"" -> 'Z' However, while decoding the message, you realize that there are many different ways you can decode the message because some codes are contained in other codes (""2"" and ""5"" vs ""25""). For example, ""11106"" can be decoded into: Note: there may be strings that are impossible to decode.

Given a string s containing only digits, return the number of ways to decode it. If the entire string cannot be decoded in any valid way, return 0. The test cases are generated so that the answer fits in a 32-bit integer. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,36.6,4019730,1469848,,12439,4580,,"639,2091,2348","Decode Ways II,Number of Ways to Separate Numbers,Count Number of Texts"
Reverse Linked List II,reverse-linked-list-ii,92,"Given the head of a singly linked list and two integers left and right where left <= right, reverse the nodes of the list from position left to position right, and return the reversed list. ",Linked List,VG9waWNUYWdOb2RlOjc=,Medium,49.6,2229630,1106822,,12312,715,,206,Reverse Linked List
Restore IP Addresses,restore-ip-addresses,93,"A valid IP address consists of exactly four integers separated by single dots. Each integer is between 0 and 255 (inclusive) and cannot have leading zeros. Given a string s containing only digits, return all possible valid IP addresses that can be formed by inserting dots into s. You are not allowed to reorder or remove any digits in s. You may return the valid IP addresses in any order. ","String,Backtracking","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjE0",Medium,53.2,1020824,543395,,5442,807,,752,IP to CIDR
Binary Tree Inorder Traversal,binary-tree-inorder-traversal,94,"Given the root of a binary tree, return the inorder traversal of its nodes' values. ","Stack,Tree,Depth-First Search,Binary Tree","VG9waWNUYWdOb2RlOjE1,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjYxMDU3",Easy,78.6,4025772,3165874,,14207,846,,"98,144,145,173,230,272,285,758,799","Validate Binary Search Tree,Binary Tree Preorder Traversal,Binary Tree Postorder Traversal,Binary Search Tree Iterator,Kth Smallest Element in a BST,Closest Binary Search Tree Value II,Inorder Successor in BST,Convert Binary Search Tree to Sorted Doubly Linked List,Minimum Distance Between BST Nodes"
Unique Binary Search Trees II,unique-binary-search-trees-ii,95,"Given an integer n, return all the structurally unique BST's (binary search trees), which has exactly n nodes of unique values from 1 to n. Return the answer in any order. ","Dynamic Programming,Backtracking,Tree,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjE0,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,60.5,855155,516956,,7780,566,,"96,241","Unique Binary Search Trees,Different Ways to Add Parentheses"
Unique Binary Search Trees,unique-binary-search-trees,96,"Given an integer n, return the number of structurally unique BST's (binary search trees) which has exactly n nodes of unique values from 1 to n. ","Math,Dynamic Programming,Tree,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjg=,VG9waWNUYWdOb2RlOjEz,VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,62.5,1229166,767965,,10711,431,,95,Unique Binary Search Trees II
Interleaving String,interleaving-string,97,"Given strings s1, s2, and s3, find whether s3 is formed by an interleaving of s1 and s2. An interleaving of two strings s and t is a configuration where s and t are divided into n and m substrings respectively, such that: Note: a + b is the concatenation of strings a and b. ","String,Dynamic Programming","VG9waWNUYWdOb2RlOjEw,VG9waWNUYWdOb2RlOjEz",Medium,42.2,1572554,663898,,8553,536,,,
Validate Binary Search Tree,validate-binary-search-tree,98,"Given the root of a binary tree, determine if it is a valid binary search tree (BST). A valid BST is defined as follows: ","Tree,Depth-First Search,Binary Search Tree,Binary Tree","VG9waWNUYWdOb2RlOjIw,VG9waWNUYWdOb2RlOjIx,VG9waWNUYWdOb2RlOjMw,VG9waWNUYWdOb2RlOjYxMDU3",Medium,34.4,8406874,2893227,,17664,1411,,"94,501","Binary Tree Inorder Traversal,Find Mode in Binary Search Tree"
